ID	Status	State	Category	Question	A	B	C	D	Answer	Comments
										
1	Untested	Jammu and Kashmir	Politics & Activism	Jammu and Kashmir has a significant political difference from other Indian states. What is it? It has -	Its own constitution and Flag	Two high courts	Own state song	Monarchy's involvement in politics	A	
2	Untested	Jammu and Kashmir	Architecture & Artwork	In the year 2019 the Ministry of Indian Railways is stated to start operating the world's tallest railway bridge (taller than the Eiffel tower). Over which river is this engineering marvel located?	Saraswati	Indus	Chenab	Jhelum	C	
3	Untested	Jammu and Kashmir	Wild	Avid enthusiasts of a certain popular sport will know Kashmir for it artistry in something other than Pashmina and intricate wood work. It is also famous for producing -	Willow for the Cricket bats	Cork for the balls	Leather for the balls	Ash for the stumps	A	
4	Untested	Jammu and Kashmir	Clothes & Jewelry	What is the name of the ingenious heating device that used to be worn beneath traditional clothing by people in the Northern Himalayan regions? A personal heater with an artistic twist.	Samovar	Hibachi	Kangri	Jajeer	C	
5	Untested	Jammu and Kashmir	Food	Jammu and Kashmir boasts of being the largest producer of the most expensive food on the planet. Name the food item.	Sturgeon caviar	Edelweiss seeds	 Kesar	Lotus seeds	C	
6	Untested	Jammu and Kashmir	Literature	Born to a Kashmiri family, Salman Rushdie's second novel deals with India's transition from British colonialism to independence and the partition of British India. This won the Booker prize in 1981. Name the book.	Shame	Midnight's Children	 East, West 	The Satanic Verses	B	
7	Untested	Jammu and Kashmir	Clothes & Jewelry	This long coat made of wool or tweed is worn both by women and men of Jammu and Kashmir.	Pheran	Saleem Shahi	Lugade	Japi	A	
8	Untested	Jammu and Kashmir	Food	Ambri is a type of fruit indigenous to Kashmir. It is -	Grapes	Peaches	Apple	Apricot	C	
										
										
1	Untested	Uttarakhand	Literature	In most of his literary works Ruskin Bond captures the idyllic beauty and the spine chilling essence of which himalayan town?	Kasauli	Dehradun (Mussoorie)	Shimla	Nainital	B	
2	Untested	Uttarakhand	Nature & Geography	Valley of Flowers is located in West Himalayas and is known for its meadows of beautiful alpine flowers and a wide variety of fauna. In which district of Uttarakhand is it located?	Pauri	Uttar Kashi	Nainital	Chamoli	D	
3	Untested	Uttarakhand	Movies & Music	This Indian lyricist was appointed as the Chairperson of the Central Board of Film Certification on 11 August 2017:	Pahlaj Nihalani	Arvind Trivedi	Prasoon Joshi	Javed Akhtar	C	
4	Untested	Uttarakhand	Politics & Activism	A noted environmentalist, Chipko movement leader and a follower of Mahatma Gandhi's philosophy of Satyagraha, for years this nonagenarian has been fighting for the preservation of forests in the Himalayas. Name this social activist.	Sunderlal Bahuguna	Anna Hazare	Baba Amte	R.Madhavan	A	
5	Untested	Uttarakhand	Architecture & Artwork	Kumaon boasts a distinctive style of architecture which has lasted over a thousand years. This local architectural style is called - 	Kalinga	Dravidian	Hoysala	Himadri	D	
6	Untested	Uttarakhand	Food	A popular recipe in the hills of Mussoorie, this pahari dish made with lentils and ginger - garlic paste is both delicious and nutritious. 	Garhwal ka Fannah	Baadi	Kandalee Ka Saag	Kafuli	A	
7	Untested	Uttarakhand	Clothes & Jewelry	Hansuli is a typical traditional ornament worn by women in Uttarakhand. Where is it worn?	Hands	Ears	Neck	Ankle	C	
