ID	Status	State	Category	Question	A	B	C	D	Answer
1	Untested	Kerala	Literature	Born in Shillong, Meghalaya, to a Bengali father and Malayali mother, this author went on to win the Booker prize award for her debut novel set in the Kottayam district of Kerala.	Jhumpa Lahiri, The Namesake 	Arundhati Roy, The God of Small Things	Anita Desai, Clear Light of Day	Kiran Desai, The Inheritance of Loss	B
2	Untested	Kerala	Wild	This traditional martial art form is believed to be one of the oldest surviving fighting systems in the world	Kalaripayattu	Silambam	Mallayuddha	 Kushti 	A
3	Untested	Kerala	Movies & Music	Which of these dance forms from Kerala means 'a performance of a story or a conversation'?	Mohiniyattam	Sattriya	Kathakali	Bihu	C
4	Untested	Kerala	Nature & Geography	The highest peak in the Western Ghats is situated in Kerala. Name the peak.	Anamudi	Mannamala	Vavul Mala	Padagiri	A
5	Untested	Kerala	Politics & Activism	Who was India's first Dalit President?	K R Narayanan	 Ram Nath Kovind	R Venkatraman 	V V Giri 	A
6	Untested	Kerala	Architecture & Artwork	Born into an aristocratic family this celebrated Indian painter is considered among the greatest painters in the history of Indian art. His painting of Nair Lady Adorning Her Hair was given the Governor's Gold Medal in 1873. Name the artist.	B. C. Sanyal	Raja Ravi Varma	 Ravishankar Raval	Rabindranath Tagore	B
7	Untested	Kerala	Food	Supposedly invented by Bhima, one of the Pandava brothers, this thick mixture of vegetables and coconut is an important part of Sadya, the Keralite feast.	Thoran	Pulusu	Avial	Kobari Pachadi	C
8	Untested	Kerala	Wild	Techno Park, the first Indian IT hub, is located in which city?	Alappuzha	Kochi	Kozhikode	Thiruvananthapuram	D
9	Untested	Kerala	Politics & Activism	This district in Kerala was the first district in the country to get superfast broadband connection as a part of the Digital India initiative. Name the district.	Kollam	Idukki	Kannur	Thrissur	B
10	Untested	Kerala	Movies & Music	Which popular Padma Vibhushan awardee, hailing from Kerala, is fondly called 'Gaana Gandharvan' (The celestial singer)?	KS Chitra	KJ Yesudas	Benny Dayal	SP Balasubrahmanyam	B
11	Untested	Kerala	Movies & Music	Chhota Chetan is the Hindi dubbed release of the 1984 Malayalam film which was India's first 3D movie. Name the original title.	Drishyam	Kattu Kuthira	 Moonnamathoral 	My Dear Kuttichathan	D
12	Untested	Kerala	Clothes & Jewelry	The traditional dress worn by women, usually during festivals or special occasions is called:	Mundum-neriyathum	Cheralu	Angavastram	Lungi	A
									
									
									
1	Untested	Tamil Nadu	Literature	In the wonderful (fictitious) world of Malgudi, on the banks of which river do Swami and his friends spend most of their evenings?	Vamsadhara	Sabari	Nagavali	Sarayu	D
2	Untested	Tamil Nadu	Food	Flat and crispy at the sides just like a dosa but soft and doughy in the middle like an Idli, Uttapam is a specialty of Tamil Nadu. It is made by grinding of rice and which dal?	Urad	Channa	Kesari	Moong	A
3	Untested	Tamil Nadu	Clothes & Jewelry	This style of saree follows the ardhanareeshwara style of draping, meaning half man and half woman; the lower half is draped like a dhoti while the upper half is pleated like a saree:	Pinkosu	Madisaru	Phanek	Kunbi	B
4	Untested	Tamil Nadu	Nature & Geography	What was the southernmost point of Indian peninsular called?	Indira point	Cape horn	Cape comorin	Blair point	C
5	Untested	Tamil Nadu	Architecture & Artwork	Under the Pallava's rule Monolithic, rock cut architecture flourished in present day Tamil Nadu. Name one of the shining examples of this style.	Shore temple complex at Mahabalipuram	 Brihadeshvara Temple of Thanjavur	Kampahareswarar Temple at Thirubhuvanam	Airavatesvara Temple of Darasuram 	A
6	Untested	Tamil Nadu	Politics & Activism	When was the name of Madras officially changed to Chennai?	1993	1996	1995	1999	C
7	Untested	Tamil Nadu	Movies & Music	This Indian Carnatic singer from Tamil Nadu was the first musician ever to be awarded the Bharat Ratna, India's highest civilian honour.	M. Balamuralikrishna	M. S. Subbulakshmi	D. K. Pattammal	Ravi Shankar	B
8	Untested	Tamil Nadu	Clothes & Jewelry	Which city is famous for its knitwear export?	Salem	Tirpur	Erode	Coimbatore	B
9	Untested	Tamil Nadu	Movies & Music	Which of these screen legends was a chemistry teacher before taking up acting?	Shivaji Ganeshan	Gemini Ganeshan	N T Rama Rao	Dr. Raj Kumar	B
10	Untested	Tamil Nadu	Politics & Activism	The Missile Man of India and People's President, Dr APJ Abdul Kalam, studied Aerospace Engineering here:	College of Engineering - Guindy 	Alagappa University	Anna University 	Madras Institute of Technology 	D
11	Untested	Tamil Nadu	Clothes & Jewelry	The traditional Korvai weaving technique is used to interlace the border with the body of which sari?	Gadwal	Pochampally	Ikat	Kanjeevaram	D
12	Untested	Tamil Nadu	Nature & Geography	What is the narrow passage of water that separates Tamil Nadu from Sri Lanka?	Adam	Palk	David	Cook	B
									
									
1	Untested	Andhra Pradesh	Politics & Activism	The modern Indian flag was based on the design by this freedom fighter from Andhra Pradesh:	Potti Sreeramulu	Alluri Sita Rama Raju	Pingali Venkayya	Tanguturi Prakasam	C
2	Untested	Andhra Pradesh	Wild	In the late 18th century which of the following is believed to be the single largest source of revenue for the British East India Company? 	Hundi in Lord Venkateswara Temple in Tirumala	Trade in Indigo	Monopoly over port activities in Kolkata	The salt tax 	A
3	Untested	Andhra Pradesh	Movies & Music	In the 2017 Indian war film, The Ghazi Attack, Ghazi was sent to destroy which Indian warship off the coast of Visakhapatnam? 	INS Arihant	INS Virat	INS Vikramaditya	INS Vikrant	D
4	Untested	Andhra Pradesh	Architecture & Artwork	This dance is believed to have originated in Odisha but has since been accepted as the official dance of Visakhapatnam district. Its primarily performed by the tribes in Araku valley and Borra Caves. Name the dance.	Charchari	Rasak	Dhimsa	Hallisaka	C
5	Untested	Andhra Pradesh	Literature	Which emperor wrote the Telugu lyrical masterpiece of 'Amuktamalyada'? 	 Chandragupta Maurya	Harshavardhana 	Krishnadevaraya 	Raja Raja Chola	C
6	Untested	Andhra Pradesh	Food	In the famous Telugu movie, Mayabazar, there is a scene in which the groom’s party creates a ruckus saying that the impending meal lacks a certain dish that is loved by every Andhrite. Name that chutney. 	Kobbari pachadi	Gongura pachadi	Tomato pachadi	Mamidikaya pachadi	B
7	Untested	Andhra Pradesh	Clothes & Jewelry	Woven in the Nellore district of Andhra Pradesh, these fine cotton weaves are registered as one of the geographical indications from the state:	Venkatagiri	Gadwal	Pochampally	Kanjeevaram	A
8	Untested	Andhra Pradesh	Politics & Activism	This Odisha born, Telugu speaking President was the only person to be elected to office as an independant candidate:	V V Giri	Sarvepalli Radhakrishnan	Neelam Sanjeeva Reddy	R Venkatraman 	A
